,x,y,z
0,-239.53125,-239.53125,11.0
1,-239.53125,-239.53125,9.5
2,-239.53125,-239.53125,8.0
3,-239.53125,-239.53125,6.5
4,-239.53125,-239.53125,5.0
5,-239.53125,-239.53125,3.5
6,-239.53125,-239.53125,2.0
7,-239.53125,-239.53125,0.5
8,-239.53125,-239.53125,-1.0
9,-239.53125,-239.53125,-2.5
10,-239.53125,-239.53125,-4.0
11,-239.53125,-239.53125,-5.5
12,-239.53125,-239.53125,-7.0
13,-239.53125,-239.53125,-8.5
14,-239.53125,-239.53125,-10.0
15,-239.53125,-239.53125,-11.5
16,-239.53125,-239.53125,-13.0
17,-239.53125,-239.53125,-14.5
18,-239.53125,-239.53125,-16.0
19,-239.53125,-239.53125,-17.5
20,-239.53125,-239.53125,-19.0
21,-239.53125,-239.53125,-20.5
22,-239.53125,-239.53125,-22.0
23,-239.53125,-239.53125,-23.5
24,-239.53125,-239.53125,-25.0
25,-239.53125,-239.53125,-26.5
26,-239.53125,-239.53125,-28.0
27,-239.53125,-239.53125,-29.5
28,-239.53125,-239.53125,-31.0
29,-239.53125,-239.53125,-32.5
30,-239.53125,-239.53125,-34.0
31,-239.53125,-239.53125,-35.5
32,-239.53125,-239.53125,-37.0
33,-239.53125,-239.53125,-38.5
34,-239.53125,-239.53125,-40.0
35,-239.53125,-239.53125,-41.5
36,-239.53125,-239.53125,-43.0
37,-239.53125,-239.53125,-44.5
38,-239.53125,-239.53125,-46.0
39,-239.53125,-239.53125,-47.5
40,-239.53125,-239.53125,-49.0
41,-239.53125,-239.53125,-50.5
42,-239.53125,-239.53125,-52.0
43,-239.53125,-239.53125,-53.5
44,-239.53125,-239.53125,-55.0
45,-239.53125,-239.53125,-56.5
46,-239.53125,-239.53125,-58.0
47,-239.53125,-239.53125,-59.5
48,-239.53125,-239.53125,-61.0
49,-239.53125,-239.53125,-62.5
50,-239.53125,-239.53125,-64.0
51,-239.53125,-239.53125,-65.5
52,-239.53125,-239.53125,-67.0
53,-239.53125,-239.53125,-68.5
54,-239.53125,-239.53125,-70.0
55,-239.53125,-239.53125,-71.5
56,-239.53125,-239.53125,-73.0
57,-239.53125,-239.53125,-74.5
58,-239.53125,-239.53125,-76.0
59,-239.53125,-239.53125,-77.5
60,-239.53125,-239.53125,-79.0
61,-239.53125,-239.53125,-80.5
62,-239.53125,-239.53125,-82.0
63,-239.53125,-239.53125,-83.5
64,-239.53125,-239.53125,-85.0
65,-239.53125,-239.53125,-86.5
66,-239.53125,-239.53125,-88.0
67,-239.53125,-239.53125,-89.5
68,-239.53125,-239.53125,-91.0
69,-239.53125,-239.53125,-92.5
70,-239.53125,-239.53125,-94.0
71,-239.53125,-239.53125,-95.5
72,-239.53125,-239.53125,-97.0
73,-239.53125,-239.53125,-98.5
74,-239.53125,-239.53125,-100.0
75,-239.53125,-239.53125,-101.5
76,-239.53125,-239.53125,-103.0
77,-239.53125,-239.53125,-104.5
78,-239.53125,-239.53125,-106.0
79,-239.53125,-239.53125,-107.5
80,-239.53125,-239.53125,-109.0
81,-239.53125,-239.53125,-110.5
82,-239.53125,-239.53125,-112.0
83,-239.53125,-239.53125,-113.5
84,-239.53125,-239.53125,-115.0
85,-239.53125,-239.53125,-116.5
86,-239.53125,-239.53125,-118.0
87,-239.53125,-239.53125,-119.5
88,-239.53125,-239.53125,-121.0
89,-239.53125,-239.53125,-122.5
90,-239.53125,-239.53125,-124.0
91,-239.53125,-239.53125,-125.5
92,-239.53125,-239.53125,-127.0
93,-239.53125,-239.53125,-128.5
94,-239.53125,-239.53125,-130.0
95,-239.53125,-239.53125,-131.5
96,-239.53125,-239.53125,-133.0
97,-239.53125,-239.53125,-134.5
98,-239.53125,-239.53125,-136.0
99,-239.53125,-239.53125,-137.5
100,-239.53125,-239.53125,-139.0
101,-239.53125,-239.53125,-140.5
102,-239.53125,-239.53125,-142.0
103,-239.53125,-239.53125,-143.5
104,-239.53125,-239.53125,-145.0
105,-239.53125,-239.53125,-146.5
106,-239.53125,-239.53125,-148.0
107,-239.53125,-239.53125,-149.5
108,-239.53125,-239.53125,-151.0
109,-239.53125,-239.53125,-152.5
110,-239.53125,-239.53125,-154.0
111,-239.53125,-239.53125,-155.5
112,-239.53125,-239.53125,-157.0
113,-239.53125,-239.53125,-158.5
114,-239.53125,-239.53125,-160.0
115,-239.53125,-239.53125,-161.5
116,-239.53125,-239.53125,-163.0
117,-239.53125,-239.53125,-164.5
118,-239.53125,-239.53125,-166.0
119,-239.53125,-239.53125,-167.5
120,-239.53125,-239.53125,-169.0
121,-239.53125,-239.53125,-170.5
122,-239.53125,-239.53125,-172.0
123,-239.53125,-239.53125,-173.5
124,-239.53125,-239.53125,-175.0
125,-239.53125,-239.53125,-176.5
126,-239.53125,-239.53125,-178.0
127,-239.53125,-239.53125,-179.5
128,-239.53125,-239.53125,-181.0
129,-239.53125,-239.53125,-182.5
130,-239.53125,-239.53125,-184.0
131,-239.53125,-239.53125,-185.5
132,-239.53125,-239.53125,-187.0
133,-239.53125,-239.53125,-188.5
134,-239.53125,-239.53125,-190.0
135,-239.53125,-239.53125,-191.5
136,-239.53125,-239.53125,-193.0
137,-239.53125,-239.53125,-194.5
138,-239.53125,-239.53125,-196.0
139,-239.53125,-239.53125,-197.5
140,-239.53125,-239.53125,-199.0
141,-239.53125,-239.53125,-200.5
142,-239.53125,-239.53125,-202.0
143,-239.53125,-239.53125,-203.5
144,-239.53125,-239.53125,-205.0
145,-239.53125,-239.53125,-206.5
146,-239.53125,-239.53125,-208.0
147,-239.53125,-239.53125,-209.5
148,-239.53125,-239.53125,-211.0
149,-239.53125,-239.53125,-212.5
150,-239.53125,-239.53125,-214.0
151,-239.53125,-239.53125,-215.5
152,-239.53125,-239.53125,-217.0
153,-239.53125,-239.53125,-218.5
154,-239.53125,-239.53125,-220.0
155,-239.53125,-239.53125,-221.5
156,-239.53125,-239.53125,-223.0
157,-239.53125,-239.53125,-224.5
158,-239.53125,-239.53125,-226.0
159,-239.53125,-239.53125,-227.5
160,-239.53125,-239.53125,-229.0
161,-239.53125,-239.53125,-230.5
162,-239.53125,-239.53125,-232.0
163,-239.53125,-239.53125,-233.5
164,-239.53125,-239.53125,-235.0
165,-239.53125,-239.53125,-236.5
166,-239.53125,-239.53125,-238.0
167,-239.53125,-239.53125,-239.5
168,-239.53125,-239.53125,-241.0
169,-239.53125,-239.53125,-242.5
170,-239.53125,-239.53125,-244.0
171,-239.53125,-239.53125,-245.5
172,-239.53125,-239.53125,-247.0
173,-239.53125,-239.53125,-248.5
174,-239.53125,-239.53125,-250.0
175,-239.53125,-239.53125,-251.5
176,-239.53125,-239.53125,-253.0
177,-239.53125,-239.53125,-254.5
178,-239.53125,-239.53125,-256.0
179,-239.53125,-239.53125,-257.5
180,-239.53125,-239.53125,-259.0
181,-239.53125,-239.53125,-260.5
182,-239.53125,-239.53125,-262.0
183,-239.53125,-239.53125,-263.5
184,-239.53125,-239.53125,-265.0
185,-239.53125,-239.53125,-266.5
186,-239.53125,-239.53125,-268.0
187,-239.53125,-239.53125,-269.5
188,-239.53125,-239.53125,-271.0
189,-239.53125,-239.53125,-272.5
190,-239.53125,-239.53125,-274.0
191,-239.53125,-239.53125,-275.5
192,-239.53125,-239.53125,-277.0
193,-239.53125,-239.53125,-278.5
194,-239.53125,-239.53125,-280.0
195,-239.53125,-239.53125,-281.5
196,-239.53125,-239.53125,-283.0
197,-239.53125,-239.53125,-284.5
198,-239.53125,-239.53125,-286.0
199,-239.53125,-239.53125,-287.5
200,-239.53125,-239.53125,-289.0
201,-239.53125,-239.53125,-290.5
202,-239.53125,-239.53125,-292.0
203,-239.53125,-239.53125,-293.5
204,-239.53125,-239.53125,-295.0
205,-239.53125,-239.53125,-296.5
206,-239.53125,-239.53125,-298.0
207,-239.53125,-239.53125,-299.5
208,-239.53125,-239.53125,-301.0
209,-239.53125,-239.53125,-302.5
210,-239.53125,-239.53125,-304.0
211,-239.53125,-239.53125,-305.5
212,-239.53125,-239.53125,-307.0
213,-239.53125,-239.53125,-308.5
214,-239.53125,-239.53125,-310.0
215,-239.53125,-239.53125,-311.5
216,-239.53125,-239.53125,-313.0
217,-239.53125,-239.53125,-314.5
218,-239.53125,-239.53125,-316.0
219,-239.53125,-239.53125,-317.5
220,-239.53125,-239.53125,-319.0
221,-239.53125,-239.53125,-320.5
222,-239.53125,-239.53125,-322.0
223,-239.53125,-239.53125,-323.5
224,-239.53125,-239.53125,-325.0
225,-239.53125,-239.53125,-326.5
226,-239.53125,-239.53125,-328.0
227,-239.53125,-239.53125,-329.5
228,-239.53125,-239.53125,-331.0
229,-239.53125,-239.53125,-332.5
230,-239.53125,-239.53125,-334.0
231,-239.53125,-239.53125,-335.5
232,-239.53125,-239.53125,-337.0
233,-239.53125,-239.53125,-338.5
234,-239.53125,-239.53125,-340.0
235,-239.53125,-239.53125,-341.5
236,-239.53125,-239.53125,-343.0
237,-239.53125,-239.53125,-344.5
238,-239.53125,-239.53125,-346.0
239,-239.53125,-239.53125,-347.5
240,-239.53125,-239.53125,-349.0
241,-239.53125,-239.53125,-350.5
242,-239.53125,-239.53125,-352.0
243,-239.53125,-239.53125,-353.5
244,-239.53125,-239.53125,-355.0
245,-239.53125,-239.53125,-356.5
246,-239.53125,-239.53125,-358.0
247,-239.53125,-239.53125,-359.5
248,-239.53125,-239.53125,-361.0
249,-239.53125,-239.53125,-362.5
250,-239.53125,-239.53125,-364.0
251,-239.53125,-239.53125,-365.5
252,-239.53125,-239.53125,-367.0
253,-239.53125,-239.53125,-368.5
254,-239.53125,-239.53125,-370.0
255,-239.53125,-239.53125,-371.5
256,-239.53125,-239.53125,-373.0
257,-239.53125,-239.53125,-374.5
258,-239.53125,-239.53125,-376.0
259,-239.53125,-239.53125,-377.5
260,-239.53125,-239.53125,-379.0
261,-239.53125,-239.53125,-380.5
262,-239.53125,-239.53125,-382.0
263,-239.53125,-239.53125,-383.5
264,-239.53125,-239.53125,-385.0
265,-239.53125,-239.53125,-386.5
266,-239.53125,-239.53125,-388.0
267,-239.53125,-239.53125,-389.5
268,-239.53125,-239.53125,-391.0
269,-239.53125,-239.53125,-392.5
270,-239.53125,-239.53125,-394.0
271,-239.53125,-239.53125,-395.5
272,-239.53125,-239.53125,-397.0
273,-239.53125,-239.53125,-398.5
274,-239.53125,-239.53125,-400.0
275,-239.53125,-239.53125,-401.5
276,-239.53125,-239.53125,-403.0
277,-239.53125,-239.53125,-404.5
278,-239.53125,-239.53125,-406.0
279,-239.53125,-239.53125,-407.5
280,-239.53125,-239.53125,-409.0
281,-239.53125,-239.53125,-410.5
282,-239.53125,-239.53125,-412.0
283,-239.53125,-239.53125,-414.0
284,-239.53125,-239.53125,-415.5
285,-239.53125,-239.53125,-417.0
286,-239.53125,-239.53125,-418.5
287,-239.53125,-239.53125,-420.0
288,-239.53125,-239.53125,-421.5
289,-239.53125,-239.53125,-423.0
290,-239.53125,-239.53125,-424.5
291,-239.53125,-239.53125,-426.0
292,-239.53125,-239.53125,-427.5
293,-239.53125,-239.53125,-429.0
294,-239.53125,-239.53125,-430.5
295,-239.53125,-239.53125,-432.0
296,-239.53125,-239.53125,-433.5
297,-239.53125,-239.53125,-435.0
298,-239.53125,-239.53125,-436.5
299,-239.53125,-239.53125,-438.0
300,-239.53125,-239.53125,-439.5
301,-239.53125,-239.53125,-441.0
302,-239.53125,-239.53125,-442.5
303,-239.53125,-239.53125,-444.0
304,-239.53125,-239.53125,-445.5
305,-239.53125,-239.53125,-447.0
306,-239.53125,-239.53125,-448.5
307,-239.53125,-239.53125,-450.0
308,-239.53125,-239.53125,-451.5
309,-239.53125,-239.53125,-453.0
310,-239.53125,-239.53125,-454.5
311,-239.53125,-239.53125,-456.0
312,-239.53125,-239.53125,-457.5
313,-239.53125,-239.53125,-459.0
314,-239.53125,-239.53125,-460.5
315,-239.53125,-239.53125,-462.0
316,-239.53125,-239.53125,-463.5
317,-239.53125,-239.53125,-465.0
318,-239.53125,-239.53125,-466.5
319,-239.53125,-239.53125,-468.0
320,-239.53125,-239.53125,-469.5
321,-239.53125,-239.53125,-471.0
322,-239.53125,-239.53125,-472.5
323,-239.53125,-239.53125,-474.0
324,-239.53125,-239.53125,-475.5
325,-239.53125,-239.53125,-477.0
326,-239.53125,-239.53125,-478.5
327,-239.53125,-239.53125,-480.0
328,-239.53125,-239.53125,-481.5
329,-239.53125,-239.53125,-483.0
330,-239.53125,-239.53125,-484.5
331,-239.53125,-239.53125,-486.0
332,-239.53125,-239.53125,-487.5
333,-239.53125,-239.53125,-489.0
334,-239.53125,-239.53125,-490.5
335,-239.53125,-239.53125,-492.0
336,-239.53125,-239.53125,-493.5
337,-239.53125,-239.53125,-495.0
338,-239.53125,-239.53125,-496.5
339,-239.53125,-239.53125,-498.0
340,-239.53125,-239.53125,-499.5
341,-239.53125,-239.53125,-501.0
342,-239.53125,-239.53125,-502.5
343,-239.53125,-239.53125,-504.0
344,-239.53125,-239.53125,-505.5
345,-239.53125,-239.53125,-507.0
346,-239.53125,-239.53125,-508.5
347,-239.53125,-239.53125,-510.0
348,-239.53125,-239.53125,-511.5
349,-239.53125,-239.53125,-513.0
350,-239.53125,-239.53125,-514.5
351,-239.53125,-239.53125,-516.0
352,-239.53125,-239.53125,-517.5
353,-239.53125,-239.53125,-519.0
354,-239.53125,-239.53125,-520.5
355,-239.53125,-239.53125,-522.0
356,-239.53125,-239.53125,-523.5
357,-239.53125,-239.53125,-525.0
358,-239.53125,-239.53125,-526.5
359,-239.53125,-239.53125,-528.0
360,-239.53125,-239.53125,-529.5
361,-239.53125,-239.53125,-531.0
362,-239.53125,-239.53125,-532.5
363,-239.53125,-239.53125,-534.0
364,-239.53125,-239.53125,-535.5
365,-239.53125,-239.53125,-537.0
366,-239.53125,-239.53125,-538.5
367,-239.53125,-239.53125,-540.0
368,-239.53125,-239.53125,-541.5
369,-239.53125,-239.53125,-543.0
370,-239.53125,-239.53125,-544.5
371,-239.53125,-239.53125,-546.0
372,-239.53125,-239.53125,-547.5
373,-239.53125,-239.53125,-549.0
374,-239.53125,-239.53125,-550.5
375,-239.53125,-239.53125,-552.0
376,-239.53125,-239.53125,-553.5
377,-239.53125,-239.53125,-555.0
378,-239.53125,-239.53125,-556.5
379,-239.53125,-239.53125,-558.0
380,-239.53125,-239.53125,-559.5
381,-239.53125,-239.53125,-561.0
382,-239.53125,-239.53125,-562.5
383,-239.53125,-239.53125,-564.0
384,-239.53125,-239.53125,-565.5
385,-239.53125,-239.53125,-567.0
386,-239.53125,-239.53125,-568.5
387,-239.53125,-239.53125,-570.0
388,-239.53125,-239.53125,-571.5
389,-239.53125,-239.53125,-573.0
390,-239.53125,-239.53125,-574.5
391,-239.53125,-239.53125,-576.0
392,-239.53125,-239.53125,-577.5
393,-239.53125,-239.53125,-579.0
394,-239.53125,-239.53125,-580.5
395,-239.53125,-239.53125,-582.0
396,-239.53125,-239.53125,-583.5
397,-239.53125,-239.53125,-585.0
398,-239.53125,-239.53125,-586.5
399,-239.53125,-239.53125,-588.0
400,-239.53125,-239.53125,-589.5
401,-239.53125,-239.53125,-591.0
402,-239.53125,-239.53125,-592.5
403,-239.53125,-239.53125,-594.0
404,-239.53125,-239.53125,-595.5
405,-239.53125,-239.53125,-597.0
406,-239.53125,-239.53125,-598.5
407,-239.53125,-239.53125,-600.0
408,-239.53125,-239.53125,-601.5
409,-239.53125,-239.53125,-603.0
410,-239.53125,-239.53125,-604.5
411,-239.53125,-239.53125,-606.0
412,-239.53125,-239.53125,-607.5
413,-239.53125,-239.53125,-609.0
414,-239.53125,-239.53125,-610.5
415,-239.53125,-239.53125,-612.0
416,-239.53125,-239.53125,-613.5
417,-239.53125,-239.53125,-615.0
418,-239.53125,-239.53125,-616.5
419,-239.53125,-239.53125,-618.0
420,-239.53125,-239.53125,-619.5
421,-239.53125,-239.53125,-621.0
422,-239.53125,-239.53125,-622.5
423,-239.53125,-239.53125,-624.0
424,-239.53125,-239.53125,-625.5
425,-239.53125,-239.53125,-627.0
426,-239.53125,-239.53125,-629.0
427,-239.53125,-239.53125,-630.5
428,-239.53125,-239.53125,-632.0
429,-239.53125,-239.53125,-633.5
430,-239.53125,-239.53125,-635.0
431,-239.53125,-239.53125,-636.5
432,-239.53125,-239.53125,-638.0
433,-239.53125,-239.53125,-639.5
434,-239.53125,-239.53125,-641.0
435,-239.53125,-239.53125,-642.5
436,-239.53125,-239.53125,-644.0
437,-239.53125,-239.53125,-645.5
438,-239.53125,-239.53125,-647.0
439,-239.53125,-239.53125,-648.5
440,-239.53125,-239.53125,-650.0
441,-239.53125,-239.53125,-651.5
442,-239.53125,-239.53125,-653.0
443,-239.53125,-239.53125,-654.5
444,-239.53125,-239.53125,-656.0
445,-239.53125,-239.53125,-657.5
446,-239.53125,-239.53125,-659.0
447,-239.53125,-239.53125,-660.5
448,-239.53125,-239.53125,-662.0
449,-239.53125,-239.53125,-663.5
450,-239.53125,-239.53125,-665.0
451,-239.53125,-239.53125,-666.5
452,-239.53125,-239.53125,-668.0
453,-239.53125,-239.53125,-669.5
454,-239.53125,-239.53125,-671.0
455,-239.53125,-239.53125,-672.5
456,-239.53125,-239.53125,-674.0
457,-239.53125,-239.53125,-675.5
458,-239.53125,-239.53125,-677.0
459,-239.53125,-239.53125,-678.5
460,-239.53125,-239.53125,-680.0
461,-239.53125,-239.53125,-681.5
462,-239.53125,-239.53125,-683.0
463,-239.53125,-239.53125,-684.5
464,-239.53125,-239.53125,-686.0
465,-239.53125,-239.53125,-687.5
466,-239.53125,-239.53125,-689.0
467,-239.53125,-239.53125,-690.5
468,-239.53125,-239.53125,-692.0
469,-239.53125,-239.53125,-693.5
470,-239.53125,-239.53125,-695.0
471,-239.53125,-239.53125,-696.5
472,-239.53125,-239.53125,-698.0
473,-239.53125,-239.53125,-699.5
474,-239.53125,-239.53125,-701.0
475,-239.53125,-239.53125,-702.5
476,-239.53125,-239.53125,-704.0
477,-239.53125,-239.53125,-705.5
478,-239.53125,-239.53125,-707.0
479,-239.53125,-239.53125,-708.5
480,-239.53125,-239.53125,-710.0
481,-239.53125,-239.53125,-711.5
482,-239.53125,-239.53125,-713.0
483,-239.53125,-239.53125,-714.5
484,-239.53125,-239.53125,-716.0
485,-239.53125,-239.53125,-717.5
486,-239.53125,-239.53125,-719.0
487,-239.53125,-239.53125,-720.5
488,-239.53125,-239.53125,-722.0
489,-239.53125,-239.53125,-723.5
490,-239.53125,-239.53125,-725.0
491,-239.53125,-239.53125,-726.5
492,-239.53125,-239.53125,-728.0
493,-239.53125,-239.53125,-729.5
494,-239.53125,-239.53125,-731.0
495,-239.53125,-239.53125,-732.5
496,-239.53125,-239.53125,-734.0
497,-239.53125,-239.53125,-735.5
498,-239.53125,-239.53125,-737.0
499,-239.53125,-239.53125,-738.5
500,-239.53125,-239.53125,-740.0
501,-239.53125,-239.53125,-741.5
502,-239.53125,-239.53125,-743.0
503,-239.53125,-239.53125,-744.5
504,-239.53125,-239.53125,-746.0
505,-239.53125,-239.53125,-747.5
506,-239.53125,-239.53125,-749.0
507,-239.53125,-239.53125,-750.5
508,-239.53125,-239.53125,-752.0
509,-239.53125,-239.53125,-753.5
510,-239.53125,-239.53125,-755.0
511,-239.53125,-239.53125,-756.5
512,-239.53125,-239.53125,-758.0
513,-239.53125,-239.53125,-759.5
514,-239.53125,-239.53125,-761.0
